id,name,city,state,zip,beds
70990806,COLLEGE MEDICAL CENTER,LONG BEACH,CA,90806,121
71794577,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,SAN LEANDRO,CA,94577,216
72590723,PROMISE HOSPITAL OF EAST LOS ANGELES-SUBURBAN CAMPUS,PARAMOUNT,CA,90723,177
73790650,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,NORWALK,CA,90650,1265
74592592,TEMECULA VALLEY HOSPITAL,TEMECULA,CA,92592,140
85531419,ST JOSEPH'S HOSPITAL - SAVANNAH,SAVANNAH,GA,31419,294
86630165,KINDRED HOSPITAL ROME,ROME,GA,30165,45
87130286,UPSON REGIONAL MEDICAL CENTER,THOMASTON,GA,30286,115
87531719,PHOEBE SUMTER MEDICAL CENTER,AMERICUS,GA,31719,76
87931830,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,WARM SPRINGS,GA,31830,32
90030265,SOUTHEASTERN REGIONAL MEDICAL CENTER,NEWNAN,GA,30265,25
150754656,MAYO CLINIC HLTH SYSTM FRANCISCAN HLTHCARE SPARTA,SPARTA,WI,54656,25
151253226,WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,WAUWATOSA,WI,53226,40
152354971,RIPON MEDICAL CENTER,RIPON,WI,54971,18
159171301,COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,ALEXANDRIA,LA,71301,-999
159670605,LAKE AREA MEDICAL CENTER,LAKE CHARLES,LA,70605,-999
160270505,SPECIALTY HOSPITAL,MONROE,LA,70505,-999
160970056,UNITED MEDICAL HEALTHWEST-NEW ORLEANS,GRETNA,LA,70056,-999
161070071,BEACON BEHAVIORAL HOSPITAL,LUTCHER,LA,70071,-999
163170127,NEW ORLEANS EAST HOSPITAL,NEW ORLEANS,LA,70127,-999
163570394,OCSHNER ST. ANNE GENERAL HOSPITAL,RACELAND,LA,70394,38
163670427,OUR LADY OF THE ANGELS HOSPITAL,BOGALUSA,LA,70427,-999
164970748,FELICIANA FORENSIC FACILITY,JACKSON,LA,70748,-999
27,EVANS ARMY COMMUNITY HOSPITAL,FORT CARSON,CO,80913,-999
35,ROBERT E. BUSH NAVAL HOSPITAL,TWENTYNINE PALMS,CA,92278,-999
493703,VA CENTRAL CALIFORNIA HEALTH CARE SYSTEM,FRESNO,CA,93703,-999
13402908,VA MEDICAL CENTER - PROVIDENCE,PROVIDENCE,RI,2908,-999
15954660,VA MEDICAL CENTER - TOMAH,TOMAH,WI,54660,-999
58796001,RESTPADD PSYCHIATRIC HEALTH FACILITY,REDDING,CA,96001,16
59093436,THE CHAMPION CENTER,LOMPOC,CA,93436,34
21891761,KAISER ONTARIO MEDICAL CENTER CAMPUS,ONTARIO,CA,91761,176
25692354,LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,LOMA LINDA,CA,92354,134
44792404,ST. BERNARDINE MEDICAL CENTER,SAN BERNARDINO,CA,92404,342
20092120,KAISER FND HOSP - SAN DIEGO,SAN DIEGO,CA,92120,414
40992037,SCRIPPS GREEN HOSPITAL,LA JOLLA,CA,92037,173
41092024,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,ENCINITAS,CA,92024,194
42292123,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,SAN DIEGO,CA,92123,206
51092103,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,SAN DIEGO,CA,92103,390
4894118,CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,SAN FRANCISCO,CA,94118,299
5094115,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,CA,94115,309
46594117,ST. MARY'S MEDICAL CENTER,SAN FRANCISCO,CA,94117,403
20595403,KAISER FND HOSP - SANTA ROSA,SANTA ROSA,CA,95403,173
19594590,KAISER FND HOSP - REHABILITATION CENTER VALLEJO,VALLEJO,CA,94590,248
53195695,WOODLAND MEMORIAL HOSPITAL,WOODLAND,CA,95695,108
1294609,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,OAKLAND,CA,94609,75
39794578,SAN LEANDRO HOSPITAL,SAN LEANDRO,CA,94578,93
46694545,ST. ROSE HOSPITAL,HAYWARD,CA,94545,217
45995204,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,STOCKTON,CA,95204,35
46095204,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,STOCKTON,CA,95204,364
13291741,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,GLENDORA,CA,91741,105
14791204,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,GLENDALE,CA,91204,334
19090027,KAISER PERMANENTE LOS ANGELES MEDICAL CENTER,LOS ANGELES,CA,90027,460
19391402,KAISER PERMANENTE PANORAMA CITY,PANORAMA CITY,CA,91402,218
36691356,PROVIDENCE TARZANA MEDICAL CENTER,TARZANA,CA,91356,249
42990020,SHRINERS HOSPITAL FOR  CHILDREN - L.A.,LOS ANGELES,CA,90020,60
50190716,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,HAWAIIAN GARDENS,CA,90716,107
45295422,ST. HELENA HOSPITAL - CLEARLAKE,CLEARLAKE,CA,95422,32
6193638,VALLEY CHILDREN'S HOSPITAL,MADERA,CA,93638,356
11792270,EISENHOWER MEDICAL CENTER,RANCHO MIRAGE,CA,92270,489
15295124,GOOD SAMARITAN HOSPITAL-SAN JOSE,SAN JOSE,CA,95124,404
20495051,KAISER FND HOSP - SANTA CLARA,SANTA CLARA,CA,95051,327
27094304,LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,PALO ALTO,CA,94304,302
19494063,KAISER FND HOSP - REDWOOD CITY,REDWOOD CITY,CA,94063,149
18094520,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,CONCORD,CA,94520,245
47794509,SUTTER DELTA MEDICAL CENTER,ANTIOCH,CA,94509,145
19995825,KAISER FND HOSP - SACRAMENTO,SACRAMENTO,CA,95825,287
43195945,SIERRA NEVADA MEMORIAL HOSPITAL,GRASS VALLEY,CA,95945,104
24690623,LA PALMA INTERCOMMUNITY HOSPITAL,LA PALMA,CA,90623,141
13795991,FREMONT MEDICAL CENTER,YUBA CITY,CA,95991,46
10230143,PIEDMONT MOUNTAINSIDE HOSPITAL,JASPER,GA,30143,48
15530606,ST MARYS HEALTH CARE SYSTEM,ATHENS,GA,30606,165
14130080,RIDGEVIEW INSTITUTE,SMYRNA,GA,30080,92
62972949,MERCY HOSPITAL OZARK,OZARK,AR,72949,-999
502891,WESTERLY HOSPITAL,WESTERLY,RI,2891,125
1553715,ST MARYS HOSPITAL,MADISON,WI,53715,440
2154235,MINISTRY DOOR COUNTY MEDICAL CENTER,STURGEON BAY,WI,54235,25
2254303,ST JOSEPH HOSPITAL DBA LIBERTAS,GREEN BAY,WI,54303,24
63072758,MERCY HOSPITAL ROGERS,ROGERS,AR,72758,-999
2753925,COLUMBUS COM HSPTL,COLUMBUS,WI,53925,25
4354923,BERLIN MEMORIAL HOSPITAL,BERLIN,WI,54923,25
5854452,GOOD SAMARITAN HLTH CTR,MERRILL,WI,54452,25
6753132,WHEATON FRANCISCAN HEALTHCARE- FRANKLIN INC,FRANKLIN,WI,53132,52
7253226,FROEDTERT MEM LUTHERAN HSPTL,MILWAUKEE,WI,53226,596
7853215,WHEATON FRANCISCAN HEALTHCARE- ST FRANCIS,MILWAUKEE,WI,53215,260
8053211,SACRED HEART REHAB INST,MILWAUKEE,WI,53211,31
8253213,AURORA PSYCHIATRIC HSPTL,WAUWATOSA,WI,53213,105
9753097,COLUMBIA CENTER,MEQUON,WI,53097,17
10454024,ST CROIX REG MED CTR,SAINT CROIX FALLS,WI,54024,25
10554552,FLAMBEAU HSPTL,PARK FALLS,WI,54552,25
10853405,WHEATON FRANCISCAN HEALTHCARE- ALL SAINTS,RACINE,WI,53405,314
11153511,BELOIT HEALTH SYSTEM,BELOIT,WI,53511,256
11854017,WESTFIELDS HOSPITAL,NEW RICHMOND,WI,54017,25
12353083,AURORA SHEBOYGAN MEM MED CTR,SHEBOYGAN,WI,53083,185
12453081,ST NICHOLAS HOSPITAL,SHEBOYGAN,WI,53081,185
12554843,HAYWARD AREA MEMORIAL HOSPITAL,HAYWARD,WI,54843,25
12754773,TRI COUNTY MEM HSPTL,WHITEHALL,WI,54773,25
13154665,VERNON MEM HSPTL,VIROQUA,WI,54665,25
15154904,AURORA MED CTR OSHKOSH,OSHKOSH,WI,54904,84
72390241,PIH HOSPITAL - DOWNEY,DOWNEY,CA,90241,199
72790503,PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER,TORRANCE,CA,90503,115
151753805,GUNDERSEN BOSCOBEL AREA HOSPITAL AND CLINICS,BOSCOBEL,WI,53805,25
160370526,ACADIA GENERAL HOSPITAL,CROWLEY,LA,70526,-999
58592354,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,LOMA LINDA,CA,92354,343
12480528,BANNER FORT COLLINS MEDICAL CENTER,FORT COLLINS,CO,80528,22
3906250,NATCHAUG HOSPITAL INC.,MANSFIELD CENTER,CT,6250,-999
75420007,MEDSTAR-GEORGETOWN UNIVERSITY MEDICAL CENTER,WASHINGTON,DC,20007,609
31233525,BAYFRONT HEALTH DADE CITY,DADE CITY,FL,33525,120
7233484,DELRAY MEDICAL CENTER,DELRAY BEACH,FL,33484,536
36034758,POINCIANA MEDICAL CENTER,KISSIMMEE,FL,34758,76
10102118,DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,BOSTON,MA,2118,-999
9802703,ARBOUR FULLER HOSPITAL,ATTLEBORO,MA,2703,103
9702146,ARBOUR HUMAN RESOURCE INSTITUTE,BROOKLINE,MA,2146,66
36232068,ST. VINCENT'S MEDICAL CENTER CLAY COUNTY,MIDDLEBURG,FL,32068,106
36334471,HEALTHSOUTH REHABILITATION HOSPITAL OF OCALA,OCALA,FL,34471,60
36634997,HEALTHSOUTH REHABILITATION HOSPITAL AT MARTIN HEALTH,STUART,FL,34997,54
13050144,DECATUR COUNTY HOSPITAL,LEON,IA,50144,25
10502114,SHRINERS' HOSPITAL FOR CHILDREN,BOSTON,MA,2114,30
10602129,SPAULDING REHABILITATION HOSPITAL,BOSTON,MA,2129,132
4466032,ANDERSON COUNTY HOSPITAL,GARNETT,KS,66032,41
7567860,KEARNY COUNTY HOSPITAL,LAKIN,KS,67860,25
8467901,SOUTHWEST MEDICAL CENTER,LIBERAL,KS,67901,101
6967547,EDWARDS COUNTY HOSPITAL,KINSLEY,KS,67547,22
7767467,OTTAWA COUNTY HEALTH CENTER,MINNEAPOLIS,KS,67467,42
11402720,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,FALL RIVER,MA,2720,-999
12101904,BAY RIDGE HOSPITAL BEVERLY,LYNN,MA,1904,62
12001056,HEALTHSOUTH REHABILITATION HOSPITAL OF WESTERN MASS,LUDLOW,MA,1056,53
3502492,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,NEEDHAM,MA,2492,58
12402745,VIBRA HOSPITAL OF SOUTHWESTERN MASSACHUSETTS,NEW BEDFORD,MA,2745,90
4002062,NORWOOD HOSPITAL,NORWOOD,MA,2062,215
12602537,SPAULDING REHABILITATION HOSPITAL CAPE COD,SANDWICH,MA,2537,60
6702143,CAMBRIDGE HEALTH ALLIANCE - SOMERVILLE CAMPUS,SOMERVILLE,MA,2143,124
12701104,SHRINERS' HOSPITAL FOR CHILDREN,SPRINGFIELD,MA,1104,40
372903,MERCY HOSPITAL FORT SMITH,FORT SMITH,AR,72903,336
7472901,HEALTHSOUTH REHABILITATION HOSPITAL OF FORT SMITH,FORT SMITH,AR,72901,80
9700000,WHITE COUNTY MEDICAL CENTER - SOUTH CAMPUS,SEARCY,AR,72143,193
10172143,WHITE COUNTY MEDICAL CENTER - NORTH CAMPUS,SEARCY,AR,72143,286
10272834,RIVER VALLEY MEDICAL CENTER,DARDANELLE,AR,72834,35
2271923,BAPTIST HEALTH MEDICAL CENTER - ARKADELPHIA,ARKADELPHIA,AR,71923,25
872616,MERCY HOSPITAL BERRYVILLE,BERRYVILLE,AR,72616,25
1072632,EUREKA SPRINGS HOSPITAL,EUREKA SPRINGS,AR,72632,22
2871653,SOUTHEAST REHABILITATION HOSPITAL,LAKE VILLAGE,AR,71653,15
671671,BRADLEY COUNTY MEDICAL CENTER,WARREN,AR,71671,35
8872455,FIVE RIVER MEDICAL CENTER,POCAHONTAS,AR,72455,50
2571742,DALLAS COUNTY MEDICAL CENTER,FORDYCE,AR,71742,25
6171701,OUACHITA CO. MEDICAL CENTER,CAMDEN,AR,71701,100
572601,NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,AR,72601,174
1672560,STONE COUNTY MEDICAL CENTER,MOUNTAIN VIEW,AR,72560,25
2372454,PIGGOTT COMMUNITY HOSPITAL,PIGGOTT,AR,72454,25
1372543,BAPTIST HEALTH - HEBER SPRINGS,HEBER SPRINGS,AR,72543,25
2472110,ST. VINCENT MORRILTON,MORRILTON,AR,72110,35
3072205,UAMS MEDICAL CENTER,LITTLE ROCK,AR,72205,400
5000000,BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK,LITTLE ROCK,AR,72117,248
6972113,UNITED METHODIST BEHAVIORAL HEALTH SYSTEMS,MAUMELLE,AR,72113,60
1971901,LEO N. LEVI NATIONAL ARTHRITIS HOSPITAL,HOT SPRINGS,AR,71901,89
5971913,CHI ST VINCENT HOSPITAL HOT SPRINGS,HOT SPRINGS,AR,71913,289
6600000,BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY,MALVERN,AR,72104,72
3971603,ARKANSAS DEPT. OF CORRECTION-DIAGNOSTIC UNIT,PINE BLUFF,AR,71603,27
6871603,JEFFERSON REGIONAL MEDICAL CENTER,PINE BLUFF,AR,71603,471
2772703,HEALTHSOUTH REHABILITATION HOSPITAL,FAYETTEVILLE,AR,72703,60
9372703,VANTAGE POINT OF NORTHWEST ARKANSAS,FAYETTEVILLE,AR,72703,114
9672762,NORTHWEST MEDICAL CENTER - WILLOW CREEK WOMEN'S HOSPITAL,SPRINGDALE,AR,72762,64
3772956,SPARKS MEDICAL CENTER VAN BUREN,VAN BUREN,AR,72956,103
3271953,MENA REGIONAL HEALTH SYSTEM,MENA,AR,71953,65
4972927,MERCY HOSPITAL BOONEVILLE,BOONEVILLE,AR,72927,25
5172855,MERCY HOSPITAL PARIS,PARIS,AR,72855,16
61172112,HARRIS HOSPITAL,NEWPORT,AR,72112,133
62472160,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,STUTTGART,AR,72160,-999
62572396,CROSSRIDGE COMMUNITY HOSPITAL,WYNNE,AR,72396,25
62872958,MERCY HOSPITAL WALDRON,WALDRON,AR,72958,-999
64072205,BAPTIST HEALTH REHABILITATION INSTITUTE,LITTLE ROCK,AR,72205,120
8672205,ST. VINCENT INFIRMARY HEALTH SYSTEM,LITTLE ROCK,AR,72205,615
14385622,GREEN VALLEY HOSPITAL,GREEN VALLEY,AZ,85622,49
12142728,T J HEALTH COLUMBIA,COLUMBIA,KY,42728,77
1042539,CASEY COUNTY HOSPITAL,LIBERTY,KY,42539,15
5240336,MARCUM AND WALLACE MEMORIAL HOSPITAL,IRVINE,KY,40336,25
3641653,HIGHLANDS REGIONAL MEDICAL CENTER,PRESTONSBURG,KY,41653,174
7140207,NORTON WOMEN'S AND KOSAIR CHILDREN'S HOSPITAL,LOUISVILLE,KY,40207,373
9440215,SAINTS MARY & ELIZABETH HOSPITAL,LOUISVILLE,KY,40215,331
10640207,THE BROOK - DUPONT,LOUISVILLE,KY,40207,88
240031,BAPTIST HEALTH LA GRANGE,LAGRANGE,KY,40031,90
9401605,ADCARE HOSPITAL OF WORCESTER INC,WORCESTER,MA,1605,114
8401730,EDITH NOURSE ROGERS MEMORIAL VETERANS HOSPITAL,BEDFORD,MA,1730,147
9501913,AMESBURY HEALTH CENTER,AMESBURY,MA,1913,12
1202215,BETH ISRAEL DEACONESS MEDICAL CENTER - WEST CAMPUS,BOSTON,MA,2215,405
9602130,THE ARBOUR HOSPITAL,BOSTON,MA,2130,136
10702559,CAPE COD & ISLANDS COMMUNITY MENTAL HEALTH CENTER,BOURNE,MA,2559,-999
10902167,BOURNEWOOD HOSPITAL,BROOKLINE,MA,2167,-999
8201930,NORTHEAST HOSPITAL CORPORATION - ADDISON GILBERT CAMPUS,GLOUCESTER,MA,1930,79
11801542,VIBRA HOSPITAL OF WESTERN MASS CENTRAL CAMPUS,LEICESTER,MA,1542,47
13925027,WORCESTER RECOVERY CENTER AND HOSPITAL,WORCESTER,MA,1604,166
4204730,HOULTON REGIONAL HOSPITAL,HOULTON,ME,4730,25
2804901,INLAND HOSPITAL,WATERVILLE,ME,4901,46
4648624,MIDMICHIGAN MEDICAL CENTER-GLADWIN,GLADWIN,MI,48624,25
11249455,MERCY HEALTH PARTNERS LAKESHORE CAMPUS,SHELBY,MI,49455,24
7349868,HELEN NEWBERRY JOY HOSPITAL,NEWBERRY,MI,49868,25
1549862,MUNISING MEMORIAL HOSPITAL,MUNISING,MI,49862,11
5848843,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,HOWELL,MI,48843,136
1649242,HILLSDALE COMMUNITY HEALTH CENTER,HILLSDALE,MI,49242,65
10048071,DMC SURGERY HOSPITAL,MADISON HEIGHTS,MI,48071,36
3049098,LAKELAND COMMUNITY HOSPITAL,WATERVLIET,MI,49098,38
5648858,MCLAREN CENTRAL MICHIGAN,MOUNT PLEASANT,MI,48858,118
7949431,SPECTRUM HEALTH LUDINGTON HOSPITAL,LUDINGTON,MI,49431,49
14049079,BRONSON LAKEVIEW HOSPITAL,PAW PAW,MI,49079,35
13248427,DECKERVILLE COMMUNITY HOSPITAL,DECKERVILLE,MI,48427,15
14948202,HENRY FORD HOSPITAL,DETROIT,MI,48202,877
4256007,MAYO CLINIC HEALTH SYS ALBT LE,ALBERT LEA,MN,56007,159
14155009,MAYO CLINIC HEALTH SYS CF,CANNON FALLS,MN,55009,15
5056031,MAYO CLINIC HEALTH SYS FAIRMNT,FAIRMONT,MN,56031,57
10256081,MAYO CLINIC HEALTH SYS ST JAME,ST JAMES,MN,56081,25
10856087,MAYO CLINIC HEALTH SYSTEM S F,SPRINGFIELD,MN,56087,24
8665201,HARRY S. TRUMAN MEMORIAL VETERANS HOSPITAL,COLUMBIA,MO,65201,126
5158554,VIBRA HOSPITAL OF CENTRAL DAKOTAS,MANDAN,ND,58554,41
2458533,JACOBSON MEMORIAL HOSPITAL & CARE CENTER,ELGIN,ND,58533,30
869022,TRI VALLEY HEALTH SYSTEM,CAMBRIDGE,NE,69022,20
1668826,MERRICK MEDICAL CENTER,CENTRAL CITY,NE,68826,20
5768198,THE NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,738
1446011,COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,ANDERSON,IN,46011,137
9446601,MEMORIAL HOSPITAL OF SOUTH BEND,SOUTH BEND,IN,46601,416
389128,COMPLEX CARE HOSPITAL AT TENAYA,LAS VEGAS,NV,89128,70
489119,DESERT SPRINGS HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,89119,346
12119124,EASTERN REGIONAL MEDICAL CENTER,PHILADELPHIA,PA,19124,58
13619107,THOMAS JEFFERSON UNIVERSITY HOSPITAL,PHILADELPHIA,PA,19107,957
5369140,PERKINS COUNTY HEALTH SERVICES,GRANT,NE,69140,20
20819104,PENN PRESBYTERIAN MEDICAL CENTER,PHILADELPHIA,PA,19104,305
24819122,GIRARD MEDICAL CENTER,PHILADELPHIA,PA,19122,163
25019104,VA MEDICAL CENTER - PHILADELPHIA,PHILADELPHIA,PA,19104,280
6017822,GEISINGER MEDICAL CENTER,DANVILLE,PA,17822,404
5759501,NORTHERN MONTANA HOSPITAL,HAVRE,MT,59501,49
522835,PAGE MEMORIAL HOSPITAL,LURAY,VA,22835,25
6929425,MUSC MEDICAL CENTER,CHARLESTON,SC,29425,713
7829414,BON SECOURS-ST FRANCIS XAVIER HOSPITAL,CHARLESTON,SC,29414,204
8829464,EAST COOPER MEDICAL CENTER,MOUNT PLEASANT,SC,29464,130
5429550,CAROLINA PINES REGIONAL MEDICAL CENTER,HARTSVILLE,SC,29550,116
2429169,LEXINGTON MEDICAL CENTER,WEST COLUMBIA,SC,29169,428
1429203,PALMETTO HEALTH RICHLAND,COLUMBIA,SC,29203,649
7929118,REGIONAL MEDICAL CENTER OF ORANGEBURG & CALHOUN COUNTIES,ORANGEBURG,SC,29118,286
14244266,ROBINSON MEMORIAL HOSPITAL,RAVENNA,OH,44266,302
798584,MASON GENERAL HOSPITAL,SHELTON,WA,98584,25
598841,MID-VALLEY HOSPITAL,OMAK,WA,98841,25
8129902,BEAUFORT MEMORIAL HOSPITAL,BEAUFORT,SC,29902,197
898356,MORTON GENERAL HOSPITAL,MORTON,WA,98356,25
1498624,OCEAN BEACH HOSPITAL,ILWACO,WA,98624,25
6878746,DELL CHILDREN'S MEDICAL CENTER,AUSTIN,TX,78746,248
19676104,COOK CHILDREN'S MEDICAL CENTER,FORT WORTH,TX,76104,430
398204,PEACEHEALTH UNITED GENERAL HOSPITAL,SEDRO-WOOLLEY,WA,98204,25
2398273,SKAGIT VALLEY HOSPITAL,MT VERNON,WA,98273,137
7798221,ISLAND HOSPITAL,ANACORTES,WA,98221,43
298431,MADIGAN ARMY MEDICAL CENTER,TACOMA,WA,98431,200
698405,ST. JOSEPH MEDICAL CENTER,TACOMA,WA,98405,320
10698372,MULTICARE GOOD SAMARITAN HOSPITAL,PUYALLUP,WA,98372,200
10898405,TACOMA GENERAL HOSPITAL,TACOMA,WA,98405,391
1699111,WHITMAN HOSPITAL AND MEDICAL CENTER,COLFAX,WA,99111,25
3399163,PULLMAN REGIONAL HOSPITAL,PULLMAN,WA,99163,25
4698948,TOPPENISH COMMUNITY HOSPITAL,TOPPENISH,WA,98948,63
4798902,YAKIMA REGIONAL MEDICAL AND CARDIAC CENTER,YAKIMA,WA,98902,214
10398902,YAKIMA VALLEY MEMORIAL HOSPITAL,YAKIMA,WA,98902,226
17545409,MIAMI VALLEY HOSPITAL,DAYTON,OH,45409,883
8398225,PEACEHEALTH ST. JOSEPH HOSPITAL,BELLINGHAM,WA,98225,253
498438,US AIR FORCE HOSPITAL 92ND MEDICAL GROUP,FAIRCHILD AIR FORCE,WA,98438,48
3599210,DEACONESS MEDICAL CENTER,SPOKANE,WA,99210,307
3999216,VALLEY HOSPITAL AND MEDICAL CENTER,SPOKANE,WA,99216,123
5298223,CASCADE VALLEY HOSPITAL,ARLINGTON,WA,98223,48
5398206,PROVIDENCE REGIONAL MEDICAL CENTER  - COLBY,EVERETT,WA,98206,395
10598272,EVERGREEN HEALTH MONROE,MONROE,WA,98272,72
11398506,PROVIDENCE ST. PETER HOSPITAL,OLYMPIA,WA,98506,364
8199114,PROVIDENCE MOUNT CARMEL HOSPITAL,COLVILLE,WA,99114,25
7698520,GRAYS HARBOR COMMUNITY HOSPITAL,ABERDEEN,WA,98520,105
6798848,QUINCY VALLEY MEDICAL CENTER,QUINCY,WA,98848,25
7398823,COLUMBIA BASIN HOSPITAL,EPHRATA,WA,98823,86
8498837,SAMARITAN HEALTHCARE,MOSES LAKE,WA,98837,50
2999336,TRIOS WOMEN'S AND CHILDREN'S HOSPITAL,KENNEWICK,WA,99336,119
35579408,COVENANT CHILDREN'S HOSPITAL,LUBBOCK,TX,79410,73
4598105,SEATTLE CHILDREN'S HOSPITAL,SEATTLE,WA,98105,250
5498033,EVERGREEN HOSPITAL MEDICAL CENTER,KIRKLAND,WA,98033,242
5798055,UW MEDICINE VALLEY MEDICAL CENTER,RENTON,WA,98055,303
9898104,HARBORVIEW MEDICAL CENTER,SEATTLE,WA,98104,413
9998133,UW MEDICINE NORTHWEST HOSPITAL,SEATTLE,WA,98133,213
10098004,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,WA,98004,337
10998022,ST. ELIZABETH HOSPITAL,ENUMCLAW,WA,98022,38
11198166,HIGHLINE MEDICAL CENTER,BURIEN,WA,98166,269
11598003,ST. FRANCIS HOSPITAL,FEDERAL WAY,WA,98003,128
9344221,EDWIN SHAW REHABILITATION INSTITUTE,CUYAHOGA FALLS,OH,44221,139
3098926,KITTITAS VALLEY COMMUNITY HOSPITAL,ELLENSBURG,WA,98926,25
14044481,ST JOSEPH HEALTH CENTER,WARREN,OH,44481,219
2944482,TRUMBULL MEMORIAL HOSPITAL,WARREN,OH,44482,346
7598331,FORKS COMMUNITY HOSPITAL,FORKS,WA,98331,37
3397031,PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,HOOD RIVER,OR,97031,25
9360901,RIVERSIDE MEDICAL CENTER,KANKAKEE,IL,60901,325
497845,BLUE MOUNTAIN HOSPITAL,JOHN DAY,OR,97845,25
2912601,VASSAR BROTHERS MEDICAL CENTER,POUGHKEEPSIE,NY,12601,365
3214215,ERIE COUNTY MEDICAL CENTER,BUFFALO,NY,14215,550
5514607,STRONG MEMORIAL HOSPITAL,ROCHESTER,NY,14607,830
6411030,NORTH SHORE UNIVERSITY HOSPITAL,MANHASSET,NY,11030,764
6511554,NASSAU UNIVERSITY MEDICAL CENTER,EAST MEADOW,NY,11554,530
7011510,SOUTH NASSAU COMMUNITIES HOSPITAL,OCEANSIDE,NY,11510,455
8313210,UPSTATE UNIVERSITY HOSPITAL - DOWNTOWN CAMPUS,SYRACUSE,NY,13210,409
